ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,minutes_played,matches_played,key_passes,big_chances_created,assists,xa,assists_xa
Lionel Messi,Forward,Argentina,1790,19,57,18,9,6.025,2.9749999999999996
Kevin De Bruyne,Midfielder,Belgium,1203,16,42,7,2,1.7850000000000001,0.21499999999999986
Kylian Mbappé,Forward,France,1840,22,38,6,6,2.517,3.483
Neymar,Forward,Brazil,781,11,33,3,2,0.606,1.3940000000000001
Antoine Griezmann,Forward,France,1107,14,32,7,5,3.636,1.3639999999999999
Ousmane Dembélé,Forward,France,1206,22,31,7,4,3.324,0.6760000000000002
Luka Modrić,Midfielder,Croatia,1669,18,31,4,2,1.502,0.498
Joshua Kimmich,Midfielder,Germany,893,10,29,9,2,2.6109999999999998,-0.6109999999999998
Ivan Perišić,Midfielder,Croatia,1662,18,21,4,5,0.851,4.149
Mohamed Salah,Midfielder,Egypt,608,8,20,1,2,0.808,1.192
Leandro Trossard,Forward,Belgium,612,9,19,3,2,2.2609999999999997,-0.2609999999999997
Sadio Mané,Midfielder,Senegal,633,7,18,3,1,1.018,-0.018000000000000016
Declan Rice,Midfielder,England,989,13,18,3,2,1.2389999999999999,0.7610000000000001
Thomas Müller,Midfielder,Germany,410,6,18,3,0,0.481,
Pedri,Midfielder,Spain,856,12,18,3,0,3.108,-3.108
Dušan Tadić,Forward,Serbia,521,6,17,3,3,1.069,1.931
Vinícius Júnior,Forward,Brazil,743,10,17,3,3,2.018,0.9820000000000002
Michael Olise,Midfielder,France,661,8,17,7,7,3.248,3.752
Eden Hazard,Forward,Belgium,654,10,16,1,2,0.054,1.946
Christian Eriksen,Midfielder,Denmark,660,7,16,2,1,0.384,0.616
Juan Fernando Quintero,Midfielder,Colombia,427,9,16,6,3,1.115,1.885
Xherdan Shaqiri,Midfielder,Switzerland,582,8,15,3,2,1.039,0.9610000000000001
Bruno Fernandes,Midfielder,Portugal,868,14,15,7,4,2.438,1.5619999999999998
Rodri,Midfielder,Spain,1116,12,15,1,0,1.314,-1.314
Dani Olmo,Midfielder,Spain,863,12,15,3,3,1.719,1.281
Lucas Paquetá,Midfielder,Brazil,551,9,15,5,2,1.5270000000000001,0.47299999999999986
Azzedine Ounahi,Midfielder,Morocco,1007,13,15,4,0,1.1360000000000001,-1.1360000000000001
Mateo Kovačić,Midfielder,Croatia,1092,18,15,3,2,1.314,0.6859999999999999
Son Heung-min,Forward,South Korea,801,10,15,1,1,0.8119999999999999,0.18800000000000006
Jude Bellingham,Midfielder,England,1044,13,14,4,2,1.465,0.5349999999999999
Hirving Lozano,Forward,Mexico,577,7,14,3,1,0.854,0.14600000000000002
Stephen Eustaquio,Midfielder,Canada,517,7,14,3,0,1.9569999999999999,-1.9569999999999999
Youri Tielemans,Midfielder,Belgium,754,16,14,2,2,0.894,1.1059999999999999
James Rodríguez,Midfielder,Colombia,469,8,14,3,2,0.857,1.143
Harry Kane,Forward,England,1631,20,14,6,4,1.778,2.222
Rubén Vargas,Midfielder,Switzerland,578,10,14,3,2,1.863,0.137
Hakim Ziyech,Midfielder,Morocco,903,10,13,1,1,0.495,0.505
Bukayo Saka,Forward,England,650,13,13,5,3,1.292,1.708
Philippe Coutinho,Midfielder,Brazil,442,5,13,3,2,0,
Mehdi Taremi,Forward,Iran,732,9,13,1,1,0.377,0.623
Roberto Alvarado,Forward,Mexico,460,8,13,4,3,1.465,1.535
Désiré Doué,Forward,France,409,8,13,1,1,0.622,0.378
Weston McKennie,Midfielder,USA,724,9,13,1,0,1.1139999999999999,-1.1139999999999999
Casemiro,Midfielder,Brazil,1106,14,13,1,0,0.7849999999999999,-0.7849999999999999
Dries Mertens,Midfielder,Belgium,373,10,13,2,1,0.075,0.925
Rodrigo De Paul,Midfielder,Argentina,1097,15,13,2,1,1.674,-0.6739999999999999
Cody Gakpo,Midfielder,Netherlands,824,9,13,1,1,1.402,-0.4019999999999999
Alexis Mac Allister,Midfielder,Argentina,1304,15,13,3,2,1.033,0.9670000000000001
Ismaïla Sarr,Forward,Senegal,980,11,12,0,1,0.661,0.33899999999999997
Raphinha,Midfielder,Brazil,447,8,12,3,0,1.269,-1.269
Carlos Vela,Forward,Mexico,322,4,12,0,0,0,
Christian Pulišić,Forward,USA,539,8,12,3,3,1.298,1.702
Florian Wirtz,Midfielder,Germany,363,4,12,3,3,1.741,1.259
Breel Embolo,Forward,Switzerland,966,14,12,4,3,1.258,1.742
Ángel Di María,Forward,Argentina,527,11,12,0,1,0.666,0.33399999999999996
Jamal Musiala,Midfielder,Germany,530,7,12,1,1,1.074,-0.07400000000000007
Kang-in Lee,Midfielder,South Korea,429,7,11,3,2,0.9339999999999999,1.066
Salman Alfaraj,Midfielder,Saudi Arabia,315,4,11,0,0,0.046,
Andrej Kramarić,Forward,Croatia,882,18,11,0,0,0.333,-0.333
Yan Diomande,Forward,Côte d'Ivoire,331,4,11,4,1,1.789,-0.7889999999999999
Salem Al-Dawsari,Midfielder,Saudi Arabia,786,9,11,0,0,0.492,-0.492
Adrien Rabiot,Midfielder,France,1079,14,11,3,2,1.035,0.9650000000000001
Mesut Özil,Midfielder,Germany,180,3,11,1,0,0,
Jae-sung Lee,Midfielder,South Korea,603,10,10,1,1,0.422,0.5780000000000001
Aurélien Tchouaméni,Midfielder,France,983,15,10,2,1,0.622,0.378
Luis Díaz,Midfielder,Colombia,478,5,10,1,1,0.967,0.03300000000000003
Enzo Fernández,Midfielder,Argentina,1226,15,10,1,1,1.715,-0.7150000000000001
Rayan,Midfielder,Brazil,289,5,10,3,1,0.302,0.698
Aaron Mooy,Midfielder,Australia,630,7,10,0,0,0.119,
Alex Baena,Midfielder,Spain,487,8,10,1,1,1.354,-0.3540000000000001
Julián Quiñones,Forward,Mexico,414,5,10,1,1,0.404,0.596
Ivan Rakitić,Midfielder,Croatia,638,7,10,0,0,0,
Bruno Guimarães,Midfielder,Brazil,486,10,10,3,4,1.433,2.567
Gonzalo Plata,Midfielder,Ecuador,629,7,10,0,0,0.522,-0.522
Junya Ito,Midfielder,Japan,538,8,10,0,1,0.303,0.6970000000000001
Marcelo Brozovic,Midfielder,Croatia,1012,14,10,0,1,0.158,0.842
Paul Pogba,Midfielder,France,539,7,9,1,0,0,
Thorgan Hazard,Midfielder,Belgium,203,10,9,3,0,0.7569999999999999,
Piotr Zielinski,Midfielder,Poland,589,7,9,0,0,0.366,
Noni Madueke,Forward,England,288,8,9,3,0,1.619,-1.619
Akram Afif,Midfielder,Qatar,509,6,9,1,0,0.625,-0.625
Granit Xhaka,Midfielder,Switzerland,1327,14,9,0,0,0.591,-0.591
Pedro Vite,Midfielder,Ecuador,360,4,9,1,1,0.841,0.15900000000000003
Olivier Giroud,Forward,France,969,14,9,1,1,0.322,0.6779999999999999
Isco,Midfielder,Spain,390,4,9,1,0,0,
Bernardo Silva,Midfielder,Portugal,699,14,9,0,0,0.33499999999999996,-0.33499999999999996
Viktor Gyökeres,Forward,Sweden,367,4,9,2,2,0.254,1.746
Cristiano Ronaldo,Forward,Portugal,1092,14,9,1,0,0.241,-0.241
Romelu Lukaku,Forward,Belgium,771,15,9,1,2,0.306,1.694
Moisés Caicedo,Midfielder,Ecuador,629,7,9,3,0,2.106,-2.106
Juan Cuadrado,Midfielder,Colombia,331,4,8,0,1,0,
Nacer Chadli,Midfielder,Belgium,327,7,8,2,1,0,
Brahim Díaz,Midfielder,Morocco,462,6,8,4,4,0.931,3.069
Mario Mandžukić,Forward,Croatia,608,7,8,2,1,0,
