ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,minutes_played,goals,xg,assists,xa,matches_played
Lionel Messi,Forward,Argentina,1790,16,12.114,9,6.025,19
Kylian Mbappé,Forward,France,1840,22,12.017,6,2.517,22
Harry Kane,Forward,England,1631,14,6.076,4,1.778,20
Breel Embolo,Forward,Switzerland,966,4,5.373,3,1.258,14
Ismaïla Sarr,Forward,Senegal,980,5,5.274,1,0.661,11
Vinícius Júnior,Forward,Brazil,743,5,5.005000000000001,3,2.018,10
Lautaro Martínez,Forward,Argentina,549,3,4.881,1,0.513,15
Cristiano Ronaldo,Forward,Portugal,1092,8,4.839,0,0.241,14
Erling Haaland,Forward,Norway,465,7,4.362,0,0.36,6
Mikel Oyarzabal,Forward,Spain,605,5,4.127,1,0.714,8
Jonathan David,Forward,Canada,613,3,4.05,0,0.362,8
Julián Alvarez,Forward,Argentina,1068,5,4.02,0,1.202,15
Enner Valencia,Forward,Ecuador,546,3,4.013,0,0.29,7
Jude Bellingham,Midfielder,England,1044,8,3.664,2,1.465,13
Neymar,Forward,Brazil,781,5,3.5509999999999997,2,0.606,11
Olivier Giroud,Forward,France,969,4,3.431,1,0.322,14
Ferran Torres,Forward,Spain,502,3,3.2510000000000003,1,0.748,12
Kai Havertz,Forward,Germany,458,5,3.089,0,0.877,7
Robert Lewandowski,Forward,Poland,630,2,2.928,1,0.44699999999999995,7
Marcus Rashford,Forward,England,588,4,2.792,1,0.549,20
Romelu Lukaku,Forward,Belgium,771,7,2.755,2,0.306,15
Raúl Jiménez,Forward,Mexico,450,3,2.66,0,0.44,12
Bukayo Saka,Forward,England,650,6,2.574,3,1.292,13
Mehdi Taremi,Forward,Iran,732,2,2.491,1,0.377,9
Yoane Wissa,Forward,DR Congo,360,3,2.463,0,0.057999999999999996,4
Dani Olmo,Midfielder,Spain,863,1,2.435,3,1.719,12
Alexis Mac Allister,Midfielder,Argentina,1304,2,2.388,2,1.033,15
Michael Olise,Midfielder,France,661,0,2.3689999999999998,7,3.248,8
Jamal Musiala,Midfielder,Germany,530,1,2.291,1,1.074,7
Ousmane Dembélé,Forward,France,1206,6,2.263,4,3.324,22
Cyle Larin,Forward,Canada,326,2,2.2070000000000003,0,0.328,8
Lamine Yamal,Midfielder,Spain,615,1,2.137,0,1.397,8
Richarlison,Forward,Brazil,326,3,2.114,0,0.358,5
Bruno Fernandes,Midfielder,Portugal,868,2,2.103,4,2.438,14
Bradley Barcola,Forward,France,384,3,1.958,1,0.376,8
Achraf Hakimi,Defender,Morocco,1473,1,1.95,3,1.604,16
Salem Al-Dawsari,Midfielder,Saudi Arabia,786,3,1.8820000000000001,0,0.492,9
Cody Gakpo,Midfielder,Netherlands,824,6,1.8450000000000002,1,1.402,9
Leandro Trossard,Forward,Belgium,612,2,1.814,2,2.2609999999999997,9
Christian Pulišić,Forward,USA,539,1,1.7650000000000001,3,1.298,8
Tajon Buchanan,Midfielder,Canada,642,0,1.7530000000000001,1,0.912,8
Adrien Rabiot,Midfielder,France,1079,1,1.7289999999999999,2,1.035,14
Daichi Kamada,Midfielder,Japan,655,2,1.7229999999999999,0,0.479,8
Bruno Guimarães,Midfielder,Brazil,486,0,1.6969999999999998,4,1.433,10
Ismael Saibari,Midfielder,Morocco,385,3,1.681,0,0.616,6
Gonçalo Ramos,Forward,Portugal,203,4,1.674,1,0.091,10
Folarin Balogun,Forward,USA,317,3,1.673,0,0.126,5
Andrej Kramarić,Forward,Croatia,882,3,1.657,0,0.333,18
Brian Brobbey,Forward,Netherlands,232,3,1.653,0,0.113,4
Aleksandar Mitrovic,Forward,Serbia,531,3,1.6480000000000001,0,0.063,6
Kevin De Bruyne,Midfielder,Belgium,1203,2,1.64,2,1.7850000000000001,16
Mikel Merino,Midfielder,Spain,210,2,1.631,0,0.719,8
Julián Quiñones,Forward,Mexico,414,4,1.607,1,0.404,5
Luis Díaz,Midfielder,Colombia,478,1,1.593,1,0.967,5
Charles De Ketelaere,Forward,Belgium,368,3,1.5110000000000001,1,0.496,9
Raphinha,Midfielder,Brazil,447,0,1.484,0,1.269,8
Memphis Depay,Forward,Netherlands,351,1,1.471,1,0.5630000000000001,9
Youri Tielemans,Midfielder,Belgium,754,2,1.455,2,0.894,16
João Félix,Forward,Portugal,538,1,1.388,2,0.3,10
Matheus Cunha,Forward,Brazil,293,3,1.379,0,0.08700000000000001,5
Mostafa Ziko,Midfielder,Egypt,375,2,1.369,1,0.531,5
Gue-sung Cho,Forward,South Korea,311,2,1.367,0,0.097,7
Gonzalo Plata,Midfielder,Ecuador,629,1,1.3639999999999999,0,0.522,7
Granit Xhaka,Midfielder,Switzerland,1327,2,1.363,0,0.591,14
Alvaro Morata,Forward,Spain,183,3,1.362,1,0.128,4
Riyad Mahrez,Midfielder,Algeria,263,2,1.351,1,0.521,4
Rubén Vargas,Midfielder,Switzerland,578,2,1.3479999999999999,2,1.863,10
Pedro Porro,Defender,Spain,564,2,1.3250000000000002,0,0.573,8
Ibrahim Maza,Forward,Algeria,359,0,1.321,0,0.23,4
Manuel Akanji,Defender,Switzerland,1327,1,1.254,0,0.287,14
Youssef En-Nesyri,Forward,Morocco,565,3,1.238,0,0.026,10
Leroy Sané,Midfielder,Germany,438,1,1.238,1,2.1679999999999997,7
Nicolas Pépé,Forward,Côte d'Ivoire,244,2,1.225,1,0.507,4
Marco Asensio,Midfielder,Spain,361,1,1.213,0,0.14100000000000001,8
Giorgian de Arrascaeta,Midfielder,Uruguay,194,2,1.206,0,0.5579999999999999,9
Daizen Maeda,Forward,Japan,428,2,1.1909999999999998,0,0.20600000000000002,8
Lucas Paquetá,Midfielder,Brazil,551,1,1.185,2,1.5270000000000001,9
Martin Ødegaard,Midfielder,Norway,471,0,1.174,4,1.033,6
Maximiliano Araújo,Defender,Uruguay,252,2,1.162,1,0.736,3
Enzo Fernández,Midfielder,Argentina,1226,3,1.16,1,1.715,15
Omar Marmoush,Forward,Egypt,326,0,1.1560000000000001,0,0.261,5
André Ayew,Forward,Ghana,200,1,1.146,0,0.005,3
