ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,avg_rating,duel_win,dribble_success,tackle_success,passes_per_90,minutes_played,matches_played
Kylian Mbappé,Forward,France,7.75,0.454545,0.510949,1,28.711957,1840,22
Ousmane Dembélé,Forward,France,7.273684210526315,0.490385,0.459459,0.55,39.402985,1206,22
Jordan Henderson,Midfielder,England,6.88,0.507692,,0.538462,52.989556,766,20
Harry Kane,Forward,England,7.449999999999999,0.515625,0.411765,0.833333,19.0374,1631,20
Marcus Rashford,Forward,England,6.892857142857143,0.402439,0.527778,0.75,37.5,588,20
John Stones,Defender,England,7.13125,0.648352,1,0.733333,70.660112,1424,20
Jordan Pickford,Goalkeeper,England,6.7368421052631575,,,,29.88417,1813,20
Nicolás Otamendi,Defender,Argentina,6.911764705882353,0.615385,,0.583333,73.781903,1293,19
Nicolás Tagliafico,Defender,Argentina,6.576470588235294,0.591304,0.571429,0.736842,40.567613,1198,19
Lionel Messi,Forward,Argentina,8.378947368421052,0.521429,0.663158,0.809524,45.301676,1790,19
Luka Modrić,Midfielder,Croatia,7.294444444444445,0.521505,0.6875,0.545455,67.297783,1669,18
Ivan Perišić,Midfielder,Croatia,7.055555555555555,0.438596,0.44,0.608696,29.296029,1662,18
Mateo Kovačić,Midfielder,Croatia,6.96875,0.592593,0.642857,0.742857,64.532967,1092,18
Andrej Kramarić,Forward,Croatia,6.747058823529412,0.385965,0.5,0.833333,33.061224,882,18
Dominik Livaković,Goalkeeper,Croatia,7.127272727272728,0.666667,,,24.771429,1050,18
Achraf Hakimi,Defender,Morocco,6.85625,0.512438,0.411765,0.73913,48.818737,1473,16
Youri Tielemans,Midfielder,Belgium,7.108333333333333,0.597403,0.666667,0.6875,51.206897,754,16
Kevin De Bruyne,Midfielder,Belgium,7.385714285714286,0.471698,0.6,0.571429,47.281796,1203,16
Lucas Hernández,Defender,France,6.6375,0.583333,0.5,0.470588,31.940299,603,16
Sofyan Amrabat,Midfielder,Morocco,6.718181818181819,0.454545,,0.578947,46.703297,819,16
Thibaut Courtois,Goalkeeper,Belgium,7.20625,,1,,28.255814,1462,16
Munir El Kajoui,Goalkeeper,Morocco,6.675,0.5,,,23.5,360,16
Axel Witsel,Midfielder,Belgium,6.859999999999999,0.535714,1,0.5,54.148061,851,16
Thiago Almada,Midfielder,Argentina,6.816666666666666,0.6,0.8,0.8,63.632813,256,15
Enzo Fernández,Midfielder,Argentina,7.071428571428571,0.507576,0.588235,0.6875,71.941272,1226,15
Emiliano Martínez,Goalkeeper,Argentina,6.906666666666666,,,,23.88,1500,15
Ibrahima Konaté,Defender,France,6.971428571428571,0.764706,,0.4,67.943662,355,15
Lisandro Martínez,Defender,Argentina,7.108333333333333,0.650794,0.833333,0.5,59.61165,927,15
Leandro Paredes,Midfielder,Argentina,7.141666666666667,0.603175,0.5,0.5,104.46198,697,15
Theo Hernández,Defender,France,6.9,0.597561,0.5,0.777778,49.777195,763,15
Alisson,Goalkeeper,Brazil,6.935714285714286,,1,,18.584687,1293,15
Julián Alvarez,Forward,Argentina,6.78,0.252747,0.375,0.666667,27.38764,1068,15
Cristian Romero,Defender,Argentina,6.971428571428571,0.56383,1,0.65,62.433132,1159,15
Nahuel Molina,Defender,Argentina,6.55,0.45614,0.5,0.304348,44.140127,1099,15
Aurélien Tchouaméni,Midfielder,France,7.172727272727273,0.698795,0.666667,0.62069,67.293998,983,15
N'Golo Kanté,Midfielder,France,6.885714285714286,0.459016,0.666667,0.733333,54.605042,595,15
Rodrigo De Paul,Midfielder,Argentina,6.892857142857143,0.525,0.333333,0.588235,70.47402,1097,15
Thomas Meunier,Defender,Belgium,7.045454545454546,0.390805,0.666667,0.866667,46.204889,859,15
