tournament_year,matchup,round_name,team,player,time_minute,player_x,player_y,xg,shot_type,situation,body_part,is_goal
2018,Argentina vs Croatia,,Croatia,Ivan Rakitić,90,21.4,50.3,,save,fast-break,right-foot,false
2018,Argentina vs Croatia,,Croatia,Luka Modrić,80,23.6,59.3,,goal,assisted,right-foot,true
2018,Argentina vs Croatia,,Croatia,Mario Mandžukić,33,4,42.9,,miss,assisted,head,false
2018,Argentina vs Croatia,,Croatia,Ante Rebić,45,20.4,42.3,,miss,assisted,right-foot,false
2018,Argentina vs Croatia,,Argentina,Sergio Agüero,53,9.8,32.6,,save,assisted,left-foot,false
2018,Argentina vs Croatia,,Argentina,Maxi Meza,64,7,41.5,,save,assisted,left-foot,false
2018,Argentina vs Croatia,,Argentina,Gonzalo Higuaín,84,19.2,29.3,,save,regular,right-foot,false
2018,Argentina vs Croatia,,Croatia,Ivan Rakitić,90,7.5,52.4,,goal,fast-break,right-foot,true
2018,Argentina vs Croatia,,Argentina,Marcos Acuña,49,21.9,31.2,,block,set-piece,left-foot,false
2018,Argentina vs Croatia,,Argentina,Nicolás Otamendi,64,11.4,52.4,,miss,corner,head,false
2018,Argentina vs Croatia,,Croatia,Mario Mandžukić,66,4.5,58.2,,miss,assisted,right-foot,false
2018,Argentina vs Croatia,,Argentina,Paulo Dybala,71,12.4,75.2,,miss,regular,left-foot,false
2018,Argentina vs Croatia,,Croatia,Mario Mandžukić,89,19.7,62.7,,block,assisted,left-foot,false
2018,Argentina vs Croatia,,Argentina,Maxi Meza,90,12.5,38.6,,block,assisted,left-foot,false
2018,Argentina vs Croatia,,Argentina,Maxi Meza,13,14.5,52.4,,block,regular,right-foot,false
2018,Argentina vs Croatia,,Croatia,Luka Modrić,89,25.4,68.8,,miss,regular,right-foot,false
2018,Argentina vs Croatia,,Croatia,Ante Rebić,53,11.4,38.2,,goal,regular,right-foot,true
2018,Argentina vs Croatia,,Croatia,Ivan Perišić,5,10.7,31.6,,save,assisted,left-foot,false
2018,Argentina vs Croatia,,Croatia,Ivan Rakitić,86,25.9,47.8,,post,free-kick,right-foot,false
2018,Argentina vs Croatia,,Croatia,Ivan Rakitić,80,16.5,32.8,,block,assisted,right-foot,false
2018,Argentina vs Croatia,,Croatia,Marcelo Brozovic,21,27.5,48,,block,assisted,right-foot,false
2018,Argentina vs Croatia,,Argentina,Enzo Pérez,30,14.2,41,,miss,regular,left-foot,false
2018,Argentina vs Croatia,,Argentina,Lionel Messi,64,2.1,42.9,,block,assisted,left-foot,false
2018,Argentina vs Croatia,,Croatia,Mateo Kovačić,86,15.8,43.3,,miss,set-piece,head,false
2018,Argentina vs Iceland,,Argentina,Eduardo Salvio,70,20.4,67.8,,block,assisted,left-foot,false
2018,Argentina vs Iceland,,Argentina,Lionel Messi,64,15,69.7,,block,corner,left-foot,false
2018,Argentina vs Iceland,,Argentina,Marcos Rojo,4,9.4,50.5,,miss,set-piece,head,false
2018,Argentina vs Iceland,,Iceland,Jóhann Guðmundsson,9,20.4,69.3,,block,assisted,left-foot,false
2018,Argentina vs Iceland,,Argentina,Sergio Agüero,19,13.4,41.5,,goal,regular,left-foot,true
2018,Argentina vs Iceland,,Argentina,Nicolás Otamendi,48,9.4,51.5,,miss,corner,head,false
2018,Argentina vs Iceland,,Argentina,Javier Mascherano,88,24.4,65.3,,save,assisted,right-foot,false
2018,Argentina vs Iceland,,Argentina,Lionel Messi,90,27.5,40,,block,free-kick,left-foot,false
2018,Argentina vs Iceland,,Argentina,Sergio Agüero,57,11.7,64.5,,block,corner,right-foot,false
2018,Argentina vs Iceland,,Iceland,Alfreð Finnbogason,23,7.3,46.6,,goal,regular,right-foot,true
2018,Argentina vs Iceland,,Argentina,Nicolás Otamendi,13,30.1,63.5,,miss,assisted,right-foot,false
2018,Argentina vs Iceland,,Iceland,Alfreð Finnbogason,9,6.7,71.9,,miss,assisted,right-foot,false
2018,Argentina vs Iceland,,Argentina,Lionel Messi,66,27.9,68.6,,miss,free-kick,left-foot,false
2018,Argentina vs Iceland,,Argentina,Lucas Biglia,42,8.1,65.3,,miss,corner,head,false
2018,Argentina vs Iceland,,Argentina,Éver Banega,71,21.3,25,,save,assisted,right-foot,false
2018,Argentina vs Iceland,,Iceland,Gylfi Sigurðsson,45,6.5,30.5,,save,regular,right-foot,false
2018,Argentina vs Iceland,,Argentina,Lionel Messi,39,6.5,27.4,,block,assisted,left-foot,false
2018,Argentina vs Iceland,,Argentina,Éver Banega,59,19.4,47.3,,block,assisted,left-foot,false
2018,Argentina vs Iceland,,Argentina,Lionel Messi,73,29.2,66,,block,free-kick,left-foot,false
2018,Argentina vs Iceland,,Argentina,Lionel Messi,84,23.3,48.4,,block,assisted,left-foot,false
